Conf Jeedom;Manuf Id OZW;Product Type OZW;Productid OZW 
100.1.0_duwi.popp.duwi.zw.edan.300.dimmer.json;0064;0001;0000
100.12289.0_popp..duwi.duwi.zw.zs.3500.plugin.switch.json;0064;3001;0000
100.5002.0_duwi.popp.duwi.interrupteur.variateur.duro.2000.json;0064;138a;0000
132.785.265_fortrezz.fortrezz.ssa-02.json;0084;0311;0109
134.3.12_aeon.labs.aeon.labs.insert.switch.json;0086;0003;000c
134.3.14_aeon.labs.aeon.labs.blind.control.switch.json;0086;0003;000e
134.3.17_aeon.labs.aeon.labs.double.microswitch.g2.json;0086;0003;0011
134.3.8_aeon.labs.aeon.labs.smart.energy.illuminator.json;0086;0003;0008
134.4.37_aeon.labs.aeon.range.extender.repeater.json;0086;0004;0025
149.12545.1_qees.qees.turtle.switch.json;0095;3101;0001
265.8195.769_vision.security.vision.security.zs.5101.json;0109;2003;0301
265.8196.1027_vision.security.vision.security.smoke.detector.zs.6101.json;0109;2004;0403
265.8202.2562_vision.security.detecteur.ouverture.porte.vision.security.zg.8101.json;0109;200a;0a02
266.8201.2307_vision.security.vision.security.zm1602.json;010a;2009;0903
270.1.1_poly-control.polylock.json;010e;0001;0001
278.1.1_chromagic.hsp02.json;0116;0001;0001
316.1.4_philio.technology.corporation.philio.pan06.in.wall.dual.relay.1.way.switch.module.json;013c;0001;0004
351.16642.513_mco.home.mco.home.mh-s411.simple.json;015f;4102;0201
351.16642.514_mco.home.mco.home.mh-s412.double.json;015f;4102;0202
89.3.1_horstmann.asr-zw.thermostat.receiver.json;0059;0003;0001
96.11.1_everspring.everspring.st812.json;0060;000b;0001
96.16.1_everspring.everspring.hac01.json;0060;0010;0001
96.17.1_everspring.everspring.han01.json;0060;0011;0001
96.3.1_everspring.everspring.ad142-6.json;0060;0003;0001
96.3.2_smarthome.by.everspring.in.wall.dimmer.ad.146.0.json;0060;0003;0002
96.3.3_miniplug.dimmer.json;0060;0003;0003
96.4.1_everspring.everspring.an157-6.json;0060;0004;0001
96.4.7_miniplug.onoff.json;0060;0004;0007
96.4.8_smarthome.by.everspring.in.wall.on.off.an.179.0.json;0060;0004;0008
