Marque;Produit;Manuf Id;Product Type;Productid;Conf Jeedom;Image Jeedom;Nom conf Jeedom;Fichier de conf OZW 
2GIG Technologies;CT30 Thermostat;152;7698;348;;X;152.7698.348_2gig.technologies.ct30.thermostat;2gig/ct30.xml
2GIG Technologies;CT30 Thermostat;152;7698;350;;X;152.7698.350_2gig.technologies.ct30.thermostat;2gig/ct30.xml
2GIG Technologies;CT100 Thermostat;152;25601;261;;X;152.25601.261_2gig.technologies.ct100.thermostat;2gig/ct100.xml
2GIG Technologies;CT100 Thermostat USA;152;25601;263;;X;152.25601.263_2gig.technologies.ct100.thermostat.usa;2gig/ct100.xml
2GIG Technologies;CT101 Thermostat (Iris);152;25857;12;;X;152.25857.12_2gig.technologies.ct101.thermostat.iris;2gig/ct101.xml
ACT;ZCS101 Serial Interface;1;17225;12592;;X;1.17225.12592_act.zcs101.serial.interface;N/A
ACT;ZIR000 PIR Motion Sensor;1;18770;12336;;X;1.18770.12336_act.zir000.pir.motion.sensor;act/zir010.xml
ACT;ZIR010 PIR Motion Sensor;1;18770;13104;;X;1.18770.13104_act.zir010.pir.motion.sensor;act/zir010.xml
ACT;ZIR010 PIR Motion Sensor;1;18770;12592;;X;1.18770.12592_act.zir010.pir.motion.sensor;act/zir010.xml
ACT;ZDP100 Plugin Lamp Module;1;17488;12336;;X;1.17488.12336_act.zdp100.plugin.lamp.module;N/A
ACT;ZDW103 Wall Dimmer Module;1;17495;12339;;X;1.17495.12339_act.zdw103.wall.dimmer.module;act/zdw103.xml
ACT;ZDW230 Wall Dimmer Module;1;17495;13104;;X;1.17495.13104_act.zdw230.wall.dimmer.module;N/A
ACT;ZDW232 Wall Dimmer Module;1;17495;13106;;X;1.17495.13106_act.zdw232.wall.dimmer.module;act/zdw232.xml
ACT;ZDM230 Wall Dimmer Module;1;17485;13104;;X;1.17485.13104_act.zdm230.wall.dimmer.module;act/zdm230.xml
ACT;ZRP100 Plugin Appliance Module;1;21072;12336;;X;1.21072.12336_act.zrp100.plugin.appliance.module;N/A
ACT;ZRP110 Exterior Appliance Module;1;21072;12592;;X;1.21072.12592_act.zrp110.exterior.appliance.module;act/zrp110.xml
ACT;ZRW230 Wall Appliance Module;1;21079;13104;;X;1.21079.13104_act.zrw230.wall.appliance.module;N/A
ACT;LFM-20 Relay Fixture Module;1;21062;12595;;X;1.21062.12595_act.lfm-20.relay.fixture.module;act/lfm20.xml
ACT;ZRW103 Wall Switch Module;1;21079;12339;;X;1.21079.12339_act.zrw103.wall.switch.module;act/zrw103.xml
ACT;ZRM230 Wall Appliance Module;1;21069;13104;;X;1.21069.13104_act.zrm230.wall.appliance.module;N/A
ACT;ZTW230 Wall Transmitter Module;1;21591;13104;;X;1.21591.13104_act.ztw230.wall.transmitter.module;N/A
ACT;ZTM230 Wall Transmitter Module;1;21581;13104;;X;1.21581.13104_act.ztm230.wall.transmitter.module;N/A
Aeon Labs;Z-Wave Extender;134;0;0;;X;134.0.0_aeon.labs.z-wave.extender;N/A
Aeon Labs;Z-Stick;134;1;1;;;134.1.1_aeon.labs.z-stick;N/A
Aeon Labs;Z-Stick S2;134;1;2;;;134.1.2_aeon.labs.z-stick.s2;N/A
Aeon Labs;Minimote;134;1;3;X;X;134.1.3_aeon.labs.minimote;aeon_labs/minimote.xml
Aeon Labs;Z-Stick S2 Lite;134;1;7;;;134.1.7_aeon.labs.z-stick.s2.lite;N/A
Aeon Labs;Key Fob;134;1;22;;X;134.1.22_aeon.labs.key.fob;aeon_labs/keyfob.xml
Aeon Labs;ZW088 Key Fob Gen5;134;1;88;X;X;134.1.88_aeon.labs.zw088.key.fob.gen5;aeon_labs/keyfob2.xml
Aeon Labs;Z-Stick Gen5;134;1;90;;;134.1.90_aeon.labs.z-stick.gen5;N/A
Aeon Labs;Z-Stick Lite Gen5;134;1;92;;;134.1.92_aeon.labs.z-stick.lite.gen5;N/A
Aeon Labs;Panic Button;134;1;38;;;134.1.38_aeon.labs.panic.button;aeon_labs/panicbtn.xml
Aeon Labs;Z-Stick S2;134;2;1;;;134.2.1_aeon.labs.z-stick.s2;N/A
Aeon Labs;Door/Window Sensor;134;2;4;;X;134.2.4_aeon.labs.doorwindow.sensor;aeon_labs/doorwindow.xml
Aeon Labs;Multi Sensor;134;2;5;;X;134.2.5_aeon.labs.multi.sensor;aeon_labs/alms.xml
Aeon Labs;Home Energy Meter;134;2;9;;X;134.2.9_aeon.labs.home.energy.meter;aeon_labs/hem.xml
Aeon Labs;Home Energy Meter G2;134;2;28;;X;134.2.28_aeon.labs.home.energy.meter.g2;aeon_labs/hemg2.xml
Aeon Labs;Door/Window Sensor;134;2;29;;X;134.2.29_aeon.labs.doorwindow.sensor;aeon_labs/doorwindow.xml
Aeon Labs;Water Sensor;134;2;45;;;134.2.45_aeon.labs.water.sensor;aeon_labs/watersensor.xml
Aeon Labs;Recessed Door Sensor;134;2;54;;X;134.2.54_aeon.labs.recessed.door.sensor;aeon_labs/recessed_doorsensor.xml
Aeon Labs;Multi Sensor Gen5;134;2;74;;;134.2.74_aeon.labs.multi.sensor.gen5;aeon_labs/multisensor_gen5.xml
Aeon Labs;Recessed Door Sensor;134;2;89;;;134.2.89_aeon.labs.recessed.door.sensor;aeon_labs/recessed_doorsensor_gen5.xml
Aeon Labs;Smart Energy Switch;134;3;6;;X;134.3.6_aeon.labs.smart.energy.switch;aeon_labs/ses.xml
Aeon Labs;Smart Energy Illuminator;134;3;8;;X;134.3.8_aeon.labs.smart.energy.illuminator;N/A
Aeon Labs;Smart Energy 220V Utility Switch;134;3;10;;X;134.3.10_aeon.labs.smart.energy.220v.utility.switch;N/A
Aeon Labs;Smart Energy Strip;134;3;11;;X;134.3.11_aeon.labs.smart.energy.strip;N/A
Aeon Labs;Micro Smart Energy Switch;134;3;12;;X;134.3.12_aeon.labs.micro.smart.energy.switch;N/A
Aeon Labs;Micro Smart Energy Illuminator;134;3;13;;X;134.3.13_aeon.labs.micro.smart.energy.illuminator;N/A
Aeon Labs;Micro Motor Controller;134;3;14;;X;134.3.14_aeon.labs.micro.motor.controller;N/A
Aeon Labs;Micro Double Switch;134;3;17;;X;134.3.17_aeon.labs.micro.double.switch;N/A
Aeon Labs;Micro Switch (2nd Edition);134;3;26;;X;134.3.26_aeon.labs.micro.switch.2nd.edition;N/A
Aeon Labs;Micro Smart Energy Illuminator G2;134;3;27;;X;134.3.27_aeon.labs.micro.smart.energy.illuminator.g2;N/A
Aeon Labs;Micro Smart Energy Switch G2;134;3;18;;X;134.3.18_aeon.labs.micro.smart.energy.switch.g2;aeon_labs/ses.xml
Aeon Labs;Micro Smart Energy Dimmer v2;134;3;19;;X;134.3.19_aeon.labs.micro.smart.energy.dimmer.v2;aeon_labs/msesv2.xml
Aeon Labs;Smart Energy Switch v2;134;3;75;;X;134.3.75_aeon.labs.smart.energy.switch.v2;aeon_labs/ses2.xml
Aeon Labs;Heavy Duty Smart Switch Gen5;134;3;78;;;134.3.78_aeon.labs.heavy.duty.smart.switch.gen5;aeon_labs/hdss_gen5.xml
Aeon Labs;Z-Wave Repeater;134;4;37;;X;134.4.37_aeon.labs.z-wave.repeater;N/A
Aeon Labs;DSD31 Siren Gen5;134;4;80;;X;134.4.80_aeon.labs.dsd31.siren.gen5;aeon_labs/dsd31.xml
Aeon Labs;Recessed Door Sensor Gen5;134;258;89;;;134.258.89_aeon.labs.recessed.door.sensor.gen5;aeon_labs/recessed_doorsensor_gen5.xml
Aeon Labs;Recessed Door Sensor Gen5;134;514;89;;;134.514.89_aeon.labs.recessed.door.sensor.gen5;aeon_labs/recessed_doorsensor_gen5.xml
Airline Mechanical;ZDS-100;273;33280;512;;;273.33280.512_airline.mechanical.zds-100;N/A
Assa Abloy;Yale Real Living Cap-Touch Lever Lock;297;1;0;;;297.1.0_assa.abloy.yale.real.living.cap-touch.lever.lock;N/A
Assa Abloy;Yale Real Living Cap-Touch Deadbolt;297;2;0;;;297.2.0_assa.abloy.yale.real.living.cap-touch.deadbolt;assa_abloy/RealLivingCapTouch.xml
Aspalis;Plugin Lamp Module;93;514;1297;;;93.514.1297_aspalis.plugin.lamp.module;N/A
BeNext;myGate;138;1;256;;X;138.1.256_benext.mygate;N/A
BeNext;myDisplay;138;2;256;;X;138.2.256_benext.mydisplay;N/A
BeNext;DHS-ZW-SNMT-01 Multi Sensor;138;3;256;;X;138.3.256_benext.dhs-zw-snmt-01.multi.sensor;BeNext/Molite.xml
BeNext;DHS-ZW-SNMT-01 Multi Sensor;138;3;257;;X;138.3.257_benext.dhs-zw-snmt-01.multi.sensor;BeNext/Molite.xml
BeNext;Door Sensor;138;4;256;;X;138.4.256_benext.door.sensor;BeNext/DoorSensor.xml
BeNext;Door Sensor;138;4;257;;X;138.4.257_benext.door.sensor;BeNext/DoorSensor.xml
BeNext;Alarm Sound;138;5;257;;X;138.5.257_benext.alarm.sound;BeNext/AlarmSound.xml
BeNext;Energy Switch;138;6;257;;X;138.6.257_benext.energy.switch;BeNext/EnergySwitch.xml
BeNext;Tag Reader;138;7;256;;X;138.7.256_benext.tag.reader;BeNext/TagReader.xml
BeNext;Tag Reader;138;7;257;X;X;138.7.257_benext.tag.reader;BeNext/TagReader.xml
BeNext;Power Switch;138;8;257;;X;138.8.257_benext.power.switch;N/A
BeNext;Built-in Dimmer;138;13;256;;X;138.13.256_benext.built-in.dimmer;BeNext/BuiltinDimmer.xml
BeNext;Scene Controller;138;23;256;;X;138.23.256_benext.scene.controller;BeNext/SceneController.xml
BeNext;Plug-in Dimmer;138;24;256;;X;138.24.256_benext.plug-in.dimmer;BeNext/PluginDimmer.xml
BeNext;1Pole Switch;138;30;1;;X;138.30.1_benext.1pole.switch;BeNext/1poleswitch.xml
BeNext;2Pole Switch;138;31;1;;X;138.31.1_benext.2pole.switch;BeNext/2poleswitch.xml
BeNext;Energy Switch;138;32;1;;;138.32.1_benext.energy.switch;BeNext/EnergySwitch.xml
Iwatsu Electric Co;TM-H2VHD081 HA Dongle;291;0;0;;;291.0.0_iwatsu.electric.co.tm-h2vhd081.ha.dongle;N/A
Iwatsu Electric Co;NE-4CT-2P Electric Power Measuring Equipment;291;258;258;;;291.258.258_iwatsu.electric.co.ne-4ct-2p.electric.power.measuring.equipment;N/A
Iwatsu Electric Co;NE-4CT Electric Power Measuring Equipment;291;259;259;;;291.259.259_iwatsu.electric.co.ne-4ct.electric.power.measuring.equipment;N/A
Buffalo;HW-100V15A-ZW Measure Power Monitor;325;1;4;;;325.1.4_buffalo.hw-100v15a-zw.measure.power.monitor;N/A
